Opportunity Number,Opportunity Title,Agency,Opportunity Status,Posted Date,,Instrument Type,Category,Matching,Award Ceiling,Award Floor

AAHC-FY24,Museum Grants for African American History and Culture (2024),IMLS,Posted,08/15/2023,2099-01-01,Grant,"Arts (see ""Cultural Affairs"" in CFDA)
Humanities (see ""Cultural Affairs"" in CFDA)",Yes,500000,5000

IGSM-FY24,Inspire! Grants for Small Museums (2024),IMLS,Posted,08/15/2023,2099-01-01,Grant,"Arts (see ""Cultural Affairs"" in CFDA)
Humanities (see ""Cultural Affairs"" in CFDA)",Yes,75000,5000

ME-FY24,Museums Empowered (2024),IMLS,Posted,08/15/2023,2099-01-01,Grant,"Arts (see ""Cultural Affairs"" in CFDA)
Humanities (see ""Cultural Affairs"" in CFDA)",Yes,250000,5000

NOAA-NMFS-HCPO-2023-2008081,NOAA's Transformational Habitat Restoration and Coastal Resilience Grants Under the Bipartisan Infrastructure Law and Inflation Reduction Act,DOC,Posted,08/15/2023,2099-01-01,Cooperative Agreement,"Environment
Infrastructure Investment and Jobs Act (IIJA)
Natural Resources
Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,25000000,1000000

NLG-M-FY24,National Leadership Grants for Museums (2024),IMLS,Posted,08/15/2023,2099-01-01,Grant,"Arts (see ""Cultural Affairs"" in CFDA)
Humanities (see ""Cultural Affairs"" in CFDA)",Yes,750000,50000

PAR-23-244,Population Approaches to Reducing Alcohol-related Cancer Risk (R01 Clinical Trial Optional),HHS-NIH11,Posted,08/15/2023,2099-01-01,Grant,"Education
Health",No,0,0

RFA-HD-24-007,Understanding and Mitigating Health Disparities experienced by People with Disabilities caused by Ableism (R01 Clinical Trial Optional),HHS-NIH11,Posted,08/14/2023,2099-01-01,Grant,"Education
Health
Income Security and Social Services",No,499999,0

PAR-24-029,Planning for Product Development Strategy (R34 Clinical Trial Not Allowed),HHS-NIH11,Posted,08/14/2023,2099-01-01,Grant,Health,No,225000,0

OLDCC-23-F-0003,DRAFT Community Noise Mitigation Program,DOD-OEA,Forecasted,08/14/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

23-615,Division of Physics: Investigator-Initiated Research Projects,NSF,Posted,08/11/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

HHS-2024-ACF-OPRE-YE-0195,Secondary Analyses of Child Care and Early Education Data,HHS-ACF-OPRE,Forecasted,08/11/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 100000, 90000

CDC-RFA-EH-24-0044,Centers of Excellence to Enhance Disease Detection in Newborns,HHS-CDC-NCEH,Forecasted,08/11/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 1000000, 750000

PAR-23-229,NIH Brain Development Cohorts (NBDC) Biospecimen Access (X01 Clinical Trial Not Allowed),HHS-NIH11,Posted,08/11/2023,2099-01-01,Grant,"Education
Environment
Health",No,0,0

RFA-NS-24-007,Community-Engaged Health Equity Research in Neuroscience Initiative (R34 CT Not Allowed),HHS-NIH11,Posted,08/11/2023,2099-01-01,Grant,Health,No,0,0

PAR-23-264,"Assay development and screening for discovery of chemical probes, drugs or immunomodulators (R01 Clinical Trial Not Allowed)",HHS-NIH11,Posted,08/10/2023,2099-01-01,Grant,"Education
Health",No,0,0

PAR-23-273,Understanding Expectancies in Cancer Symptom Management (R01 Clinical Trial Required),HHS-NIH11,Posted,08/10/2023,2099-01-01,Grant,"Education
Health",No,0,0

RFA-NS-24-021,HEAL Initiative: Understanding Individual Differences in Human Pain Conditions (R01 - Clinical Trial Optional),HHS-NIH11,Posted,08/10/2023,2099-01-01,Grant,"Education
Health
Income Security and Social Services",No,0,0

F24AS00466,F24AS00466 - FY 2024 Clean Vessel Act (CVA),DOI-FWS,Posted,08/10/2023,2099-01-01,Grant,Natural Resources,Yes,1500000,0

RFA-NS-24-006,Community-Engaged Health Equity Research in Neuroscience Initiative (R01 CT Not Allowed),HHS-NIH11,Posted,08/10/2023,2099-01-01,Grant,Health,No,500000,0

HQ003423NFOEASD12,BILATERAL ACADEMIC RESEARCH INITIATIVE (BARI) SOCIAL SCIENCE PROGRAM,DOD-WHS,Posted,08/10/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,3000000,0

NEAAC23MERC1001,Middle East Regional Cooperation (MERC),DOS-NEA-AC,Posted,08/10/2023,2099-01-01,Grant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,1000000,0

PAR-23-243,NCI Research Specialist (Core-based Scientist) Award (R50 Clinical Trial Not Allowed),HHS-NIH11,Posted,08/09/2023,2099-01-01,Grant,"Education
Health",No,0,0

PAR-23-242,NCI Research Specialist (Laboratory-based Scientist) Award (R50 Clinical Trial Not Allowed),HHS-NIH11,Posted,08/09/2023,2099-01-01,Grant,"Education
Health",No,0,0

PAR-23-245,Personal Health Informatics for Delivering Actionable Insights to Individuals (R01 Clinical Trial Optional),HHS-NIH11,Posted,08/09/2023,2099-01-01,Grant,"Education
Health",No,250000,0

HHS-2024-ACF-OPRE-YE-0194,Child Care Policy Research Partnerships,HHS-ACF-OPRE,Forecasted,08/09/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 400000, 100000

PAR-23-249,"Alcohol Treatment, Pharmacotherapy, and Recovery Research (R34 Clinical Trial required)",HHS-NIH11,Posted,08/09/2023,2099-01-01,Grant,Health,No,450000,0

PAR-23-252,Alcohol Health Services Research (R34 Clinical Trial Optional),HHS-NIH11,Posted,08/09/2023,2099-01-01,Grant,Health,No,450000,0

PAR-23-251,Alcohol Health Services Research (R01 Clinical Trial Optional),HHS-NIH11,Posted,08/09/2023,2099-01-01,Grant,Health,No,500000,0

PAR-23-250,"Alcohol Treatment, Pharmacotherapy, and Recovery Research (R01 Clinical Trial Required)",HHS-NIH11,Posted,08/09/2023,2099-01-01,Grant,Health,No,500000,0

CDC-RFA-DP-24-0061,"Supporting Young Breast Cancer Survivors, Metastatic Breast Cancer Patients, and their Families",HHS-CDC-NCCDPHP,Forecasted,08/09/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 460000, 360000

DARPA-RA-23-02,Forward-Looking Experimentation (FLEX),DOD-DARPA-MTO,Posted,08/09/2023,2099-01-01,Cooperative Agreement,Science and Technology and other Research and Development,No,0,0

PAR-23-259,Academic-Industrial Partnerships (AIP) to Translate and Validate In Vivo Imaging Systems (R01 Clinical Trial Optional),HHS-NIH11,Posted,08/08/2023,01/07/2027,Grant,"Education
Health",No,500000,0

HHS-2024-ACF-ECD-TH-0135,"Tribal Maternal, Infant, and Early Childhood Home Visiting Program Grants",HHS-ACF,Forecasted,08/08/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 1000000, 250000

HQ003423NFOEASD17,Defense Security Cooperation University - Research Grants,DOD-WHS,Posted,08/08/2023,2099-01-01,Cooperative AgreementGrant,Science and Technology and other Research and Development,No,800000,25000

VA-GPD-FORECAST-FY2024-FY2027,GPD Grant Forecast,VA-HPGPDP,Forecasted,08/08/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

R23AS00109,WaterSMART Planning and Project Design Grants For FY 2023 and FY 2024,DOI-BOR,Posted,08/07/2023,2099-01-01,Cooperative AgreementGrant,Natural Resources,Yes,400000,1

R23AS00362,WaterSMART Cooperative Watershed Management Program Phase I for Fiscal Year 2023,DOI-BOR,Posted,08/07/2023,2099-01-01,Cooperative AgreementGrant,Natural Resources,No,300000,10000

PAR-23-256,Feasibility Trials of the NIH Music-based Interventions Toolkit for Brain Disorders of Aging (R34 Clinical Trial Required),HHS-NIH11,Posted,08/07/2023,2099-01-01,Grant,Health,No,0,0

CDC-RFA-DP-24-0060,Paul Coverdell National Stroke Program,HHS-CDC-NCCDPHP,Forecasted,08/07/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 650000, 500000

CDC-RFA-DP-24-0025,A Cultural Approach to Good Health and Wellness in Indian Country (GHWIC),HHS-CDC-NCCDPHP,Forecasted,08/07/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 1450000, 100000

72052723RFA00002,Governance for the People in Peru,USAID-PER,Forecasted,08/04/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 12000000, 10000000

HHS-2024-ACF-ACYF-CS-0053,Tribal Court Improvement Program,HHS-ACF-CB,Forecasted,08/04/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 150000, 50000

HHS-2024-ACF-OPRE-PE-0045,Family Self-Sufficiency Demonstration Development Continuation Awards,HHS-ACF-OPRE,Forecasted,08/04/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 100000, 75000

HHS-2024-ACF-ACYF-CX-0192,FY2024 Transitional Living Program,HHS-ACF-FYSB,Forecasted,08/04/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 250000, 100000

CDC-RFA-DP-24-0021,Expanding the National Approach to Chronic Disease Education and Awareness,HHS-CDC-NCCDPHP,Forecasted,08/04/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 400000, 300000

CDC-RFA-DP-24-0049,Partner Promotion of Strategies to Advance Oral Health Equity,HHS-CDC-NCCDPHP,Forecasted,08/04/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 300000, 100000

HHS-2024-ACF-ACYF-CY-0133,FY 2024 Basic Center Program,HHS-ACF-FYSB,Forecasted,08/04/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 250000, 50000

HHS-2024-ACF-ANA-NA-0050,Social and Economic Development Strategies -SEDS,HHS-ACF-ANA,Forecasted,08/04/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 400000, 100000

HHS-2024-ACF-ANA-NK-0051,Social and Economic Development Strategies for Alaska-SEDS-AK,HHS-ACF-ANA,Forecasted,08/04/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 300000, 50000

HHS-2024-ACF-ANA-NR-0061,Environmental Regulatory Enhancement,HHS-ACF-ANA,Forecasted,08/04/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 300000, 100000

CDC-RFA-DD-24-0055,Implementing Evidence-Based Health Promotion Programs for Attention-Deficit Hyperactivity Disorder (ADHD) or Tourette Syndrome (TS),HHS-CDC-NCBDDD,Forecasted,08/04/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 1100000, 850000

CDC-RFA-PS-24-0028,"NCHHSTP Epidemiologic and Economic Modeling for HIV, Viral Hepatitis, STD, TB and Adolescent Health",HHS-CDC-NCHHSTP,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 0, 0

CDC-RFA-DP-24-0053,Enhancing Reviews and Surveillance to Eliminate Maternal Mortality,HHS-CDC-NCCDPHP,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 860000, 295000

HHS-2024-ACF-ACYF-CZ-0052,National Resource Center for Community-Based Child Abuse Prevention,HHS-ACF-CB,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 2000000, 1800000

HHS-2024-ACF-ANA-NL-0059,Native American Language Preservation and Maintenance,HHS-ACF-ANA,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 300000, 100000

HHS-2024-ACF-OPRE-PD-0126,Behavioral Interventions Scholars,HHS-ACF-OPRE,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 25000, 20000

HHS-2024-ACF-OPRE-YR-0050,Secondary Analyses of Head Start Data,HHS-ACF-OPRE,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 100000, 90000

HHS-2024-ACF-ACYF-AK-0032,FY2024 Competitive Personal Responsibility Education Program,HHS-ACF-FYSB,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 450000, 250000

HHS-2024-ACF-ACYF-CY-0058,FY 24 Runaway and Homeless Youth Prevention Demonstration Program,HHS-ACF-FYSB,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 350000, 250000

HHS-2024-ACF-ACYF-EV-0039,Family Violence Prevention and Services Discretionary Grants: Specialized Services to Abused Parents and their Children (Demonstration Projects),HHS-ACF-FYSB,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 300000, 275000

HHS-2024-ACF-ACYF-FYSB-TS-0040,Title V Competitive Sexual Risk Avoidance Education,HHS-ACF-FYSB,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 450000, 13501

HHS-2024-ACF-ACYF-SR-0041,General Departmental Sexual Risk Avoidance Education (GDSRAE),HHS-ACF-FYSB,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 450000, 300000

HHS-2024-ACF-OPRE-PH-0157,Child Development Research Fellowship Program,HHS-ACF-OPRE,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 1500000, 156000

HHS-2024-ACF-ORR-RG-0023,Refugee Family Child Care Microenterprise Development Program,HHS-ACF-ORR,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 250000, 175000

HHS-2024-ACF-ACYF-CA-0022,Best Practices to Strengthen Family Support in Child Maltreatment Reporting and Prevention,HHS-ACF-CB,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 2500000, 2000000

HHS-2024-ACF-ACYF-CW-0056,State-Tribal Partnerships to Implement Best Practices in Indian Child Welfare,HHS-ACF-CB,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 2000000, 1800000

HHS-2024-ACF-ACYF-YO-0047,FY24 Street Outreach Program,HHS-ACF-FYSB,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 150000, 90000

HHS-2024-ACF-ORR-RB-0060,Lived Experience Advisory Council Program,HHS-ACF-ORR,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 1500000, 1000000

HHS-2024-ACF-ORR-RB-0137,Refugee Children and Youth Resilience Program,HHS-ACF-ORR,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 2000000, 1500000

CDC-RFA-GH-24-0058,Strengthening immunization program implementation in sub-national consequential geographies,HHS-CDC-CGH,Forecasted,08/03/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 0, 0

EPA-OAR-OTAQ-23-03,2022-2023 Diesel Emissions Reduction Act (DERA) National Grants,EPA,Posted,08/02/2023,12/01/2023,Cooperative Agreement,Environment,Yes,4500000,0

SM-24-006,Assisted Outpatient Treatment Program for Individuals with Serious Mental Illness,HHS-SAMHS-SAMHSA,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

SM-24-003,Promoting the Integration of Primary and Behavioral Health Care Integration,HHS-SAMHS-SAMHSA,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

SM-24-001,Statewide Family Network Program,HHS-SAMHS-SAMHSA,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

SM-24-007,Community Programs for Outreach and Intervention with Youth and Young Adults at Clinical High Risk for Psychosis,HHS-SAMHS-SAMHSA,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

SM-24-004,GLS Campus Suicide Prevention,HHS-SAMHS-SAMHSA,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

SM-24-005,Cooperative Agreements for the Garrett Lee Smith State/Tribal Youth Suicide Prevention and Early Intervention Program,HHS-SAMHS-SAMHSA,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

HHS-2024-ACL-AOA-PCRP-0015,Pension Counseling & Information Projects,HHS-ACL,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 300000, 188000

SM-24-008,Primary and Behavioral Health Care Integration Training and Technical Assistance,HHS-SAMHS-SAMHSA,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

HHS-2024-ACL-AOA-EJIG-0011,Elder Justice Innovation Grants FY2024,HHS-ACL,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 500000, 300000

HHS-2024-ACF-ORR-ZM-0020,Refugee Career Pathways Program,HHS-ACF-ORR,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 325000, 250000

20240521-PN,Cultural and Community Resilience,NEH,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 150000, 1

20240521-PE,Preservation and Access Education and Training,NEH,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 350000, 1

20240612-MD-MN-MT,Digital Projects for the Public,NEH,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 400000, 1

20240507-AA-AB-AC-AD-AE,Humanities Initiatives,NEH,Forecasted,08/02/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 150000, 1

F24AS00017,F24AS00017 - Species Conservation Catalyst Fund on Songbird Trade,DOI-FWS,Posted,08/02/2023,2099-01-01,Cooperative AgreementGrant,Environment,No,1000000,100000

23-572,Arctic Research Opportunities,NSF,Posted,08/02/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,330000

CDC-RFA-DD-24-0083,"Surveillance of Public Health Burden of Persistent Tic Disorders including Tourette Syndrome in Children, Adolescents, and Young Adults",HHS-CDC-NCBDDD,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 750000, 150000

23-611,Condensed Matter and Materials Theory,NSF,Posted,08/01/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

23-612,Division of Materials Research: Topical Materials Research Programs,NSF,Posted,08/01/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,0,0

TEGL-19-22,Community Project Funding/Congressionally Directed Spending,DOL-ETA,Posted,08/01/2023,2099-01-01,Grant,"Employment, Labor and Training",No,3000000,30000

RFA-TS-24-010,Identify and Evaluate Potential Risk Factors for Amyotrophic Lateral Sclerosis (ALS),HHS-CDC-HHSCDCERA,Posted,08/01/2023,12/19/2023,Grant,Health,No,500000,0

PAR-23-254,Secondary Analysis and Integration of Existing Data to Elucidate Cancer Risk and Related Outcomes (R01 Clinical Trial Not Allowed),HHS-NIH11,Posted,08/01/2023,2099-01-01,Grant,"Education
Health",No,350000,0

20240424-FO,Fellowships for Advanced Social Science Research on Japan,NEH,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 60000, 1

PAR-23-255,Secondary Analysis and Integration of Existing Data to Elucidate Cancer Risk and Related Outcomes (R21 Clinical Trials Not Allowed),HHS-NIH11,Posted,08/01/2023,2099-01-01,Grant,"Education
Health",No,275000,0

20231129-RZ,Collaborative Research,NEH,Posted,08/01/2023,2099-01-01,Grant,"Humanities (see ""Cultural Affairs"" in CFDA)",No,300000,1

20240521-PR,Research and Development,NEH,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 350000, 1

20240417-FEL,Fellowships for Digital Publication,NEH,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 60000, 30000

PAR-23-248,"Institutional Network Award for Promoting Kidney, Urologic, and Hematologic Research Training (U2C - Clinical Trial Not Allowed)",HHS-NIH11,Posted,08/01/2023,2099-01-01,Cooperative Agreement,"Food and Nutrition
Health",No,0,0

PAR-23-240,Alcohol and Other Substance Use Research Education Programs for Health Professionals (R25 Clinical Trial Not Allowed),HHS-NIH11,Posted,08/01/2023,2099-01-01,Grant,Health,No,250000,0

SP-24-001,Sober Truth on Preventing Underage Drinking Act (STOP Act) Grant Program,HHS-SAMHS-SAMHSA,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

TI-24-001,Provider�s Clinical Support System Universities (PCSS-U),HHS-SAMHS-SAMHSA,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

TI-24-003,Building Communities of Recovery,HHS-SAMHS-SAMHSA,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

TI-24-004,Grants to Expand Substance Use Disorder Treatment Capacity in Adult and Family Treatment Drug Courts,HHS-SAMHS-SAMHSA,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

TI-24-006,First Responders � Comprehensive Addiction and Recovery Act,HHS-SAMHS-SAMHSA,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

TI-24-007,Rural Opioid Technical Assistance Regional Centers,HHS-SAMHS-SAMHSA,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

TI-24-008,State Opioid Response,HHS-SAMHS-SAMHSA,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

TI-24-009,Tribal Opioid Response,HHS-SAMHS-SAMHSA,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

RFA-OD-23-021,Public Health Communication Messaging about the Continuum of Risk for Tobacco Products (U01 Clinical Trial Required),HHS-NIH11,Posted,08/01/2023,2099-01-01,Cooperative Agreement,Health,No,2500000,0

RFA-NS-24-026,Validating digital health technologies for monitoring biomarkers in ADRD clinical trials (R61/R33 - Clinical Trials Optional),HHS-NIH11,Posted,08/01/2023,2099-01-01,Grant,Health,No,1000000,0

72049223APS00001,UNIVERSAL HEALTH CARE PROJECT APS,USAID-PHI,Posted,08/01/2023,2099-01-01,Other,Health,No,0,0

CDC-RFA-DP-24-0048,State Promotion of Strategies to Advance Oral Health Equity,HHS-CDC-NCCDPHP,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 525000, 250000

TI-24-002,State Pilot Program for Treatment for Pregnant and Postpartum Women (PPW-PLT),HHS-SAMHS-SAMHSA,Forecasted,08/01/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

CMS-4S4-24-001,States Advancing All-Payer Health Equity Approaches and Development (AHEAD) Model,HHS-CMS,Forecasted,07/31/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

20240716-PW,Humanities Collections and Reference Resources,NEH,Forecasted,07/31/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 350000, 1

RFA-DA-25-002,Addressing HIV in highest risk sexual and gender minorities (R34 Clinical Trial Required),HHS-NIH11,Posted,07/31/2023,08/14/2024,Grant,"Education
Health",No,225000,0

RFA-DA-25-001,Addressing HIV in Highest Risk Sexual and Gender Minorities (R01 Clinical Trial Optional),HHS-NIH11,Posted,07/31/2023,08/14/2024,Grant,"Education
Health",No,500000,0

HHS-2024-ACL-AOA-EJIG-0014,FY2024 Grants to Highest State Courts to Improve Guardianship,HHS-ACL,Forecasted,07/31/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 500000, 150000

20240410-FEL,Fellowships,NEH,Forecasted,07/31/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 60000, 1

HHS-2024-ACL-AOA-INNU-0025,Innovations in Nutrition Programs and Services - Coordinated Systems Demonstration,HHS-ACL,Forecasted,07/31/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 3750000, 3000000

HHS-2024-ACL-AOA-ACIL-0062,Advancing the ACL Innovation Lab,HHS-ACL,Forecasted,07/31/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 4790000, 4790000

CMS-NAV-24-001,Cooperative Agreement to Support Navigators in Federally-facilitated Exchanges,HHS-CMS,Forecasted,07/31/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

23-610,National Artificial Intelligence (AI) Research Institutes,NSF,Posted,07/31/2023,02/16/2024,Grant,Science and Technology and other Research and Development,No,20000000,0

CMS-1W1-24-001,Minority Research Grant Program 2024,HHS-CMS,Forecasted,07/31/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

RFA-DK-23-001,A Consortium for Gut-Brain Communication in Parkinsons Disease (U24 Clinical Trial not allowed),HHS-NIH11,Posted,07/31/2023,11/15/2023,Cooperative Agreement,"Food and Nutrition
Health",No,400000,0

RFA-DK-22-036,A Consortium for Gut-Brain Communication in Parkinsons Disease (U01 Clinical Trial Not Allowed),HHS-NIH11,Posted,07/31/2023,11/15/2023,Cooperative Agreement,"Food and Nutrition
Health",No,300000,0

RFA-HD-24-009,Prevention and Treatment through a Comprehensive Care Continuum for HIV-affected Adolescents in Resource Constrained Settings Implementation Science Network (PATCH-IN) Implementation Science Coordinating Center (UM2 Clinical Trial Optional),HHS-NIH11,Posted,07/31/2023,12/06/2023,Cooperative Agreement,"Health
Income Security and Social Services",No,1250000,0

